system:index,area_ha,area_km2,season,year,.geo
53,70910.23449378229,709.1023449378229,Temporal,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,21114.753352391006,211.14753352391006,Primavera,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,24827.784363396077,248.27784363396077,Verano,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,20440.807919135932,204.40807919135932,Otoño,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,40584.87261923652,405.8487261923652,Invierno,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,40584.87261923652,405.8487261923652,Antes,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,29847.963820885154,298.47963820885155,Durante,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,21114.753352391006,211.14753352391006,Después,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,14215.7564249408,142.157564249408,Permanente,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,40357.18530871276,403.5718530871276,Temporal,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,23425.57520883419,234.25575208834192,Primavera,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,22147.26313362577,221.47263133625768,Verano,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,22823.483938291203,228.23483938291204,Otoño,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,24925.319204166244,249.25319204166243,Invierno,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,24925.319204166244,249.25319204166243,Antes,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,27559.94564467124,275.5994564467124,Durante,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,23425.57520883419,234.25575208834192,Después,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,12639.548411533411,126.39548411533411,Permanente,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,27094.22079162215,270.9422079162215,Temporal,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,53293.986609255524,532.9398660925552,Primavera,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,24704.006892508634,247.04006892508633,Verano,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,25947.806021821485,259.47806021821486,Otoño,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,38435.179914698645,384.3517991469864,Invierno,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,38435.179914698645,384.3517991469864,Antes,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,35015.278914328665,350.1527891432866,Durante,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,53293.986609255524,532.9398660925552,Después,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,10228.467226542696,102.28467226542696,Permanente,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,67867.85192772388,678.6785192772388,Temporal,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,28368.81073624847,283.6881073624847,Primavera,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,31018.409617714944,310.18409617714946,Verano,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,21947.236324052254,219.47236324052255,Otoño,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,41338.047702540214,413.3804770254021,Invierno,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,41338.047702540214,413.3804770254021,Antes,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,35445.90567378717,354.4590567378717,Durante,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,28368.81073624847,283.6881073624847,Después,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,12275.84990294556,122.75849902945559,Permanente,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,55615.463445542046,556.1546344554205,Temporal,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,46366.35631631264,463.6635631631264,Primavera,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,23734.8463790989,237.348463790989,Verano,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,25270.057346788435,252.70057346788434,Otoño,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,29910.678018263723,299.10678018263724,Invierno,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,29910.678018263723,299.10678018263724,Antes,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,33165.10500139603,331.6510500139603,Durante,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,46366.35631631264,463.6635631631264,Después,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,12512.744117961753,125.12744117961753,Permanente,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,60808.07848080708,608.0807848080708,Temporal,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
